time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.airspeed,.groundspeed,.heading,.throttle,.altitude,.climb
2025/07/05/17:48:10.054910,9508,1751712490,54420229,,0.6480000019073486,0.8297135829925537,118,0.0,24.3799991607666,-0.007942317053675652
2025/07/05/17:48:10.154320,9509,1751712490,153777084,,0.6480000019073486,0.8458441495895386,117,0.0,24.3799991607666,-0.007577108684927225
2025/07/05/17:48:10.254206,9510,1751712490,253680813,,0.9980000257492065,0.8668338060379028,116,0.0,24.3799991607666,-0.002851219614967704
2025/07/05/17:48:10.354975,9511,1751712490,354371763,,0.9980000257492065,0.8901543021202087,116,0.0,24.3799991607666,-0.004323077853769064
2025/07/05/17:48:10.515115,9512,1751712490,514902372,,0.9950000643730164,0.930367112159729,116,0.0,24.3799991607666,-0.005394697189331055
2025/07/05/17:48:10.617673,9513,1751712490,617200394,,1.1890000104904175,0.9563664197921753,116,0.0,24.3799991607666,-0.01168878935277462
2025/07/05/17:48:10.714236,9514,1751712490,714010188,,1.1890000104904175,0.9934120178222656,116,0.0,24.3799991607666,0.00026038254145532846
2025/07/05/17:48:10.817344,9515,1751712490,817184049,,0.7930000424385071,1.031313180923462,117,0.0,24.3799991607666,-0.001413866993971169
2025/07/05/17:48:10.915349,9516,1751712490,914292590,,0.7930000424385071,1.0616865158081055,118,0.0,24.3799991607666,0.006015987601131201
2025/07/05/17:48:11.017803,9517,1751712491,17259744,,0.9520000219345093,1.0837427377700806,119,0.0,24.3799991607666,0.0023696229327470064
2025/07/05/17:48:11.094837,9518,1751712491,94423541,,0.9520000219345093,1.087517261505127,121,0.0,24.3799991607666,-0.002044587628915906
2025/07/05/17:48:11.196127,9519,1751712491,195367492,,1.1290000677108765,1.0898854732513428,123,0.0,24.3799991607666,-0.023535603657364845
2025/07/05/17:48:11.279299,9520,1751712491,278547194,,1.1290000677108765,1.0809235572814941,124,0.0,24.369998931884766,-0.014626199379563332
2025/07/05/17:48:11.356645,9521,1751712491,354591093,,1.1290000677108765,1.0575580596923828,126,0.0,24.369998931884766,-0.010518458671867847
2025/07/05/17:48:11.554909,9522,1751712491,554414335,,0.7560000419616699,0.9839789867401123,126,0.0,24.369998931884766,0.003050126601010561
2025/07/05/17:48:11.634045,9523,1751712491,633374591,,1.0260000228881836,0.9653242230415344,125,0.0,24.369998931884766,0.007098102010786533
2025/07/05/17:48:11.734332,9524,1751712491,733428356,,1.0260000228881836,0.9779084920883179,124,0.0,24.369998931884766,-0.008459317497909069
2025/07/05/17:48:11.817733,9525,1751712491,817281030,,1.0780000686645508,0.988533616065979,122,0.0,24.369998931884766,-0.008813709951937199
2025/07/05/17:48:11.916834,9526,1751712491,915381052,,1.0780000686645508,1.0088324546813965,120,0.0,24.3799991607666,-0.0042391386814415455
2025/07/05/17:48:12.018787,9527,1751712492,17911761,,1.1170001029968262,1.0353285074234009,119,0.0,24.3799991607666,-0.003488062648102641
2025/07/05/17:48:12.095064,9528,1751712492,94398948,,1.1170001029968262,1.0699224472045898,119,0.0,24.389999389648438,0.009794636629521847
2025/07/05/17:48:12.196184,9529,1751712492,195204219,,0.9970000386238098,1.0885417461395264,119,0.0,24.389999389648438,0.013069264590740204
2025/07/05/17:48:12.294830,9530,1751712492,294165224,,0.9970000386238098,1.0975059270858765,121,0.0,24.399999618530273,-0.0003136955783702433
2025/07/05/17:48:12.374892,9531,1751712492,373640753,,0.9970000386238098,1.0996880531311035,122,0.0,24.399999618530273,-0.0018821408739313483
2025/07/05/17:48:12.534056,9532,1751712492,533498098,,1.0290000438690186,1.0886210203170776,125,0.0,24.40999984741211,-0.004933082964271307
2025/07/05/17:48:12.635837,9533,1751712492,633763466,,1.2080000638961792,1.0679937601089478,127,0.0,24.40999984741211,0.0002244314964627847
2025/07/05/17:48:12.714692,9534,1751712492,714028395,,1.2080000638961792,1.0282143354415894,127,0.0,24.40999984741211,0.01581680402159691
2025/07/05/17:48:12.817923,9535,1751712492,817062243,,0.8060000538825989,1.0099068880081177,126,0.0,24.420000076293945,0.023792991414666176
2025/07/05/17:48:12.895211,9536,1751712492,894605145,,0.8060000538825989,0.997236430644989,125,0.0,24.420000076293945,0.02093064971268177
2025/07/05/17:48:13.017618,9537,1751712493,17112885,,0.8250000476837158,0.9865583777427673,123,0.0,24.43000030517578,0.013621531426906586
2025/07/05/17:48:13.095695,9538,1751712493,94571223,,0.8250000476837158,0.9809938669204712,121,0.0,24.43000030517578,0.0067903571762144566
2025/07/05/17:48:13.175617,9539,1751712493,175045834,,0.8250000476837158,0.9850651025772095,119,0.0,24.439998626708984,0.00729304039850831
2025/07/05/17:48:13.254462,9540,1751712493,253510874,,1.0430001020431519,0.9918191432952881,118,0.0,24.44999885559082,0.014428657479584217
2025/07/05/17:48:13.354780,9541,1751712493,354309157,,1.0430001020431519,0.9998294711112976,116,0.0,24.459999084472656,0.018826311454176903
2025/07/05/17:48:13.554131,9542,1751712493,553446254,,1.2080000638961792,1.044539451599121,112,0.0,24.479999542236328,0.03146112337708473
2025/07/05/17:48:13.674239,9543,1751712493,673886514,,1.2440000772476196,1.0705403089523315,109,0.0,24.489999771118164,0.026131393387913704
2025/07/05/17:48:13.754309,9544,1751712493,753369760,,1.2440000772476196,1.0936082601547241,107,0.0,24.489999771118164,0.02737872488796711
2025/07/05/17:48:13.853936,9545,1751712493,853228085,,1.224000096321106,1.1226606369018555,105,0.0,24.5,0.024203991517424583
2025/07/05/17:48:13.955137,9546,1751712493,954397419,,1.224000096321106,1.1577749252319336,104,0.0,24.510000228881836,0.03907214477658272
2025/07/05/17:48:14.054371,9547,1751712494,53600121,,1.343000054359436,1.1940579414367676,103,0.0,24.51999855041504,0.040079519152641296
2025/07/05/17:48:14.154444,9548,1751712494,153664660,,1.343000054359436,1.2240046262741089,102,0.0,24.529998779296875,0.05118809640407562
2025/07/05/17:48:14.234168,9549,1751712494,233535848,,1.3920000791549683,1.241762399673462,102,0.0,24.529998779296875,0.0380919985473156
2025/07/05/17:48:14.335088,9550,1751712494,334393398,,1.3920000791549683,1.2840098142623901,102,0.0,24.53999900817871,0.03926829248666763
2025/07/05/17:48:14.515095,9551,1751712494,514235313,,1.3100000619888306,1.3447296619415283,104,0.0,24.53999900817871,0.04570523649454117
2025/07/05/17:48:14.596040,9552,1751712494,594935795,,1.371000051498413,1.3559805154800415,106,0.0,24.549999237060547,0.04095663130283356
2025/07/05/17:48:14.674848,9553,1751712494,674386705,,1.371000051498413,1.3578925132751465,107,0.0,24.549999237060547,0.038336511701345444
2025/07/05/17:48:14.775180,9554,1751712494,774612510,,1.371000051498413,1.3618038892745972,110,0.0,24.549999237060547,0.017312342301011086
2025/07/05/17:48:14.874037,9555,1751712494,873883199,,1.3220000267028809,1.3426260948181152,111,0.0,24.549999237060547,0.027860838919878006
2025/07/05/17:48:14.975248,9556,1751712494,973902143,,1.3220000267028809,1.329675555229187,111,0.0,24.549999237060547,0.044932279735803604
2025/07/05/17:48:15.054204,9557,1751712495,53374880,,1.3340001106262207,1.326530933380127,110,0.0,24.549999237060547,0.06204276904463768
2025/07/05/17:48:15.154110,9558,1751712495,153469387,,1.3340001106262207,1.3370965719223022,109,0.0,24.549999237060547,0.05356194078922272
2025/07/05/17:48:15.254346,9559,1751712495,253478378,,1.5320000648498535,1.3411692380905151,106,0.0,24.549999237060547,0.04265858605504036
2025/07/05/17:48:15.354285,9560,1751712495,353583689,,1.5320000648498535,1.3643125295639038,104,0.0,24.549999237060547,0.030648814514279366
2025/07/05/17:48:15.534816,9561,1751712495,534338988,,1.2170000076293945,1.3997113704681396,102,0.0,24.559999465942383,0.0687519758939743
2025/07/05/17:48:15.634196,9562,1751712495,633393647,,1.4760000705718994,1.4079170227050781,103,0.0,24.56999969482422,0.06236366182565689
2025/07/05/17:48:15.714722,9563,1751712495,714044479,,1.4760000705718994,1.4262768030166626,104,0.0,24.579999923706055,0.04238184913992882
2025/07/05/17:48:15.817679,9564,1751712495,816770449,,1.505000114440918,1.4371336698532104,107,0.0,24.579999923706055,0.031672485172748566
2025/07/05/17:48:15.895426,9565,1751712495,895102413,,1.505000114440918,1.4559189081192017,109,0.0,24.59000015258789,0.03155427426099777
2025/07/05/17:48:15.995925,9566,1751712495,995317042,,1.3440001010894775,1.4646615982055664,111,0.0,24.600000381469727,0.037530120462179184
2025/07/05/17:48:16.094910,9567,1751712496,94116007,,1.3440001010894775,1.4641520977020264,114,0.0,24.60999870300293,0.05936341732740402
2025/07/05/17:48:16.174300,9568,1751712496,173607004,,1.3440001010894775,1.453681468963623,115,0.0,24.619998931884766,0.05136379227042198
2025/07/05/17:48:16.254246,9569,1751712496,253545485,,1.4850000143051147,1.441983699798584,117,0.0,24.6299991607666,0.058176591992378235
2025/07/05/17:48:16.355097,9570,1751712496,354372895,,1.4850000143051147,1.4288748502731323,119,0.0,24.639999389648438,0.06150510162115097
2025/07/05/17:48:16.514921,9571,1751712496,514255421,,1.408000111579895,1.4082057476043701,120,0.0,24.649999618530273,0.07821616530418396
2025/07/05/17:48:16.595798,9572,1751712496,595196305,,1.3700001239776611,1.4063771963119507,119,0.0,24.649999618530273,0.09268784523010254
2025/07/05/17:48:16.675023,9573,1751712496,674482139,,1.3700001239776611,1.4210726022720337,118,0.0,24.670000076293945,0.09605305641889572
2025/07/05/17:48:16.774320,9574,1751712496,773560978,,1.3700001239776611,1.4387308359146118,115,0.0,24.670000076293945,0.0700143426656723
2025/07/05/17:48:16.854309,9575,1751712496,853596774,,1.3630000352859497,1.4594647884368896,114,0.0,24.68000030517578,0.06018824502825737
2025/07/05/17:48:16.974444,9576,1751712496,973575735,,1.3630000352859497,1.4800723791122437,112,0.0,24.68000030517578,0.07490099966526031
2025/07/05/17:48:17.075527,9577,1751712497,74458696,,1.437000036239624,1.479434609413147,112,0.0,24.689998626708984,0.0966540277004242
2025/07/05/17:48:17.174649,9578,1751712497,173890411,,1.437000036239624,1.4735682010650635,113,0.0,24.689998626708984,0.08744797110557556
2025/07/05/17:48:17.254115,9579,1751712497,253328550,,1.377000093460083,1.4714255332946777,115,0.0,24.689998626708984,0.06516292691230774
2025/07/05/17:48:17.334205,9580,1751712497,333412248,,1.377000093460083,1.4629429578781128,117,0.0,24.689998626708984,0.047002844512462616
2025/07/05/17:48:17.495655,9581,1751712497,495033430,,1.5410001277923584,1.4527864456176758,121,0.0,24.68000030517578,0.039837710559368134
2025/07/05/17:48:17.596180,9582,1751712497,595432136,,1.4840000867843628,1.4383491277694702,123,0.0,24.68000030517578,0.07488887012004852
2025/07/05/17:48:17.674626,9583,1751712497,673904561,,1.4840000867843628,1.4342774152755737,122,0.0,24.68000030517578,0.09084190428256989
2025/07/05/17:48:17.754151,9584,1751712497,753314453,,1.4840000867843628,1.4144361019134521,121,0.0,24.68000030517578,0.08807770907878876
2025/07/05/17:48:17.854948,9585,1751712497,854314958,,1.3720000982284546,1.4313017129898071,119,0.0,24.68000030517578,0.07801156491041183
2025/07/05/17:48:17.974068,9586,1751712497,973426481,,1.3720000982284546,1.4309313297271729,116,0.0,24.68000030517578,0.05032188445329666
2025/07/05/17:48:18.054111,9587,1751712498,53463442,,1.5190000534057617,1.4429960250854492,113,0.0,24.68000030517578,0.0528879277408123
2025/07/05/17:48:18.173647,9588,1751712498,173041466,,1.5190000534057617,1.4380390644073486,110,0.0,24.68000030517578,0.06213930994272232
2025/07/05/17:48:18.254141,9589,1751712498,253447859,,1.4760000705718994,1.4284154176712036,108,0.0,24.68000030517578,0.06262040138244629
2025/07/05/17:48:18.354233,9590,1751712498,353497259,,1.4760000705718994,1.438414454460144,106,0.0,24.670000076293945,0.053682178258895874
2025/07/05/17:48:18.534111,9591,1751712498,533247445,,1.4190000295639038,1.418117880821228,103,0.0,24.65999984741211,0.05524379760026932
2025/07/05/17:48:18.634586,9592,1751712498,633498476,,1.4900001287460327,1.413961410522461,103,0.0,24.649999618530273,0.08684645593166351
2025/07/05/17:48:18.734159,9593,1751712498,733277104,,1.4900001287460327,1.403425931930542,104,0.0,24.649999618530273,0.09500052034854889
2025/07/05/17:48:18.834398,9594,1751712498,833535458,,1.558000087738037,1.4161592721939087,106,0.0,24.649999618530273,0.05382588878273964
2025/07/05/17:48:18.934097,9595,1751712498,933316205,,1.558000087738037,1.43002450466156,109,0.0,24.639999389648438,0.0179517213255167
2025/07/05/17:48:19.034160,9596,1751712499,33233650,,1.4570000171661377,1.426756501197815,111,0.0,24.6299991607666,0.013584943488240242
2025/07/05/17:48:19.135077,9597,1751712499,134328540,,1.4570000171661377,1.4500861167907715,111,0.0,24.619998931884766,0.04691491276025772
2025/07/05/17:48:19.234075,9598,1751712499,233352585,,1.4280000925064087,1.4521880149841309,110,0.0,24.619998931884766,0.0633133202791214
2025/07/05/17:48:19.334322,9599,1751712499,333554090,,1.4280000925064087,1.4513442516326904,108,0.0,24.619998931884766,0.04528950899839401
2025/07/05/17:48:19.454166,9600,1751712499,453481792,,1.3980001211166382,1.470859169960022,105,0.0,24.619998931884766,0.02821696549654007
2025/07/05/17:48:19.595639,9601,1751712499,595074783,,1.6010000705718994,1.4651315212249756,101,0.0,24.619998931884766,0.029745545238256454
2025/07/05/17:48:19.674426,9602,1751712499,673762782,,1.6010000705718994,1.477889060974121,100,0.0,24.60999870300293,0.04449953883886337
2025/07/05/17:48:19.774110,9603,1751712499,773523332,,1.6010000705718994,1.4672472476959229,100,0.0,24.60999870300293,0.0630015879869461
2025/07/05/17:48:19.854038,9604,1751712499,853359481,,1.4470000267028809,1.4699684381484985,100,0.0,24.60999870300293,0.06633959710597992
2025/07/05/17:48:19.974426,9605,1751712499,973605753,,1.4470000267028809,1.4592688083648682,103,0.0,24.600000381469727,0.038988664746284485
2025/07/05/17:48:20.054204,9606,1751712500,53594498,,1.5320000648498535,1.4756569862365723,105,0.0,24.600000381469727,0.01085982471704483
2025/07/05/17:48:20.154234,9607,1751712500,153410786,,1.5320000648498535,1.4752305746078491,107,0.0,24.59000015258789,-0.008225924335420132
2025/07/05/17:48:20.273699,9608,1751712500,273308112,,1.4270000457763672,1.4768476486206055,109,0.0,24.579999923706055,0.01080263964831829
2025/07/05/17:48:20.354141,9609,1751712500,353361418,,1.4270000457763672,1.4892668724060059,108,0.0,24.56999969482422,0.04453309625387192
2025/07/05/17:48:20.554156,9610,1751712500,553513371,,1.3420000076293945,1.499508261680603,104,0.0,24.559999465942383,0.02378062903881073
2025/07/05/17:48:20.633883,9611,1751712500,633329749,,1.5480000972747803,1.4899942874908447,102,0.0,24.549999237060547,-0.0002614972472656518
2025/07/05/17:48:20.734100,9612,1751712500,733170075,,1.5480000972747803,1.4781286716461182,99,0.0,24.549999237060547,-0.009133217856287956
2025/07/05/17:48:20.834085,9613,1751712500,833386007,,1.4820001125335693,1.4955285787582397,96,0.0,24.53999900817871,0.006785429082810879
2025/07/05/17:48:20.935146,9614,1751712500,934299433,,1.4820001125335693,1.4805214405059814,94,0.0,24.53999900817871,0.009772761724889278
2025/07/05/17:48:21.034685,9615,1751712501,33359143,,1.4690001010894775,1.4757001399993896,92,0.0,24.53999900817871,0.01567058078944683
2025/07/05/17:48:21.134497,9616,1751712501,133405139,,1.4690001010894775,1.472351312637329,90,0.0,24.549999237060547,0.017997795715928078
2025/07/05/17:48:21.233906,9617,1751712501,233120692,,1.3270000219345093,1.4537678956985474,87,0.0,24.549999237060547,0.009727575816214085
2025/07/05/17:48:21.334150,9618,1751712501,333298015,,1.3270000219345093,1.4507701396942139,85,0.0,24.549999237060547,0.010303705930709839
2025/07/05/17:48:21.495888,9619,1751712501,495306453,,1.5000001192092896,1.4309477806091309,81,0.0,24.559999465942383,0.011452430859208107
2025/07/05/17:48:21.617800,9620,1751712501,616951465,,1.531000018119812,1.4063701629638672,78,0.0,24.559999465942383,0.02530834451317787
2025/07/05/17:48:21.695085,9621,1751712501,694377717,,1.531000018119812,1.4029916524887085,77,0.0,24.549999237060547,0.015164081938564777
2025/07/05/17:48:21.795662,9622,1751712501,795056020,,1.2930001020431519,1.3998786211013794,75,0.0,24.549999237060547,0.024288395419716835
2025/07/05/17:48:21.894764,9623,1751712501,894317635,,1.2930001020431519,1.3982131481170654,73,0.0,24.549999237060547,0.023521991446614265
2025/07/05/17:48:21.995686,9624,1751712501,995215127,,1.2990000247955322,1.386432409286499,71,0.0,24.549999237060547,0.025399448350071907
2025/07/05/17:48:22.074209,9625,1751712502,74047583,,1.2990000247955322,1.3668429851531982,69,0.0,24.549999237060547,0.01580088585615158
2025/07/05/17:48:22.153897,9626,1751712502,152998941,,1.2990000247955322,1.379858374595642,67,0.0,24.549999237060547,0.022134585306048393
2025/07/05/17:48:22.233887,9627,1751712502,233094338,,1.3630000352859497,1.3690317869186401,66,0.0,24.53999900817871,0.024476615712046623
2025/07/05/17:48:22.333666,9628,1751712502,333193925,,1.3630000352859497,1.3635227680206299,64,0.0,24.53999900817871,0.020154468715190887
2025/07/05/17:48:22.514817,9629,1751712502,514262539,,1.4350000619888306,1.3559526205062866,60,0.0,24.529998779296875,0.015113525092601776
2025/07/05/17:48:22.617547,9630,1751712502,616968639,,1.340000033378601,1.357486367225647,58,0.0,24.529998779296875,0.014778131619095802
