time,.data
2025/07/05/17:48:59.354944,-3.384
2025/07/05/17:48:59.552954,-3.379
2025/07/05/17:48:59.652107,-3.378
2025/07/05/17:48:59.752262,-3.378
2025/07/05/17:48:59.852612,-3.379
2025/07/05/17:48:59.993253,-3.378
2025/07/05/17:49:00.072589,-3.377
2025/07/05/17:49:00.174717,-3.377
2025/07/05/17:49:00.272204,-3.38
2025/07/05/17:49:00.372916,-3.384
2025/07/05/17:49:00.552296,-3.385
2025/07/05/17:49:00.651717,-3.383
2025/07/05/17:49:00.752804,-3.383
2025/07/05/17:49:00.855622,-3.384
2025/07/05/17:49:00.972440,-3.388
2025/07/05/17:49:01.054026,-3.389
2025/07/05/17:49:01.152606,-3.389
2025/07/05/17:49:01.251844,-3.388
2025/07/05/17:49:01.352158,-3.388
2025/07/05/17:49:01.552785,-3.392
2025/07/05/17:49:01.652167,-3.394
2025/07/05/17:49:01.732970,-3.394
2025/07/05/17:49:01.835512,-3.395
2025/07/05/17:49:01.952546,-3.397
2025/07/05/17:49:02.051613,-3.398
2025/07/05/17:49:02.151902,-3.4
2025/07/05/17:49:02.252186,-3.402
2025/07/05/17:49:02.331572,-3.402
2025/07/05/17:49:02.472896,-3.403
2025/07/05/17:49:02.593374,-3.403
2025/07/05/17:49:02.671966,-3.401
2025/07/05/17:49:02.754501,-3.401
2025/07/05/17:49:02.851755,-3.403
2025/07/05/17:49:02.973051,-3.404
2025/07/05/17:49:03.053504,-3.406
2025/07/05/17:49:03.152558,-3.408
2025/07/05/17:49:03.251861,-3.411
2025/07/05/17:49:03.351663,-3.415
2025/07/05/17:49:03.493650,-3.419
2025/07/05/17:49:03.634754,-3.42
2025/07/05/17:49:03.712682,-3.419
