time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.time_ref.secs,.time_ref.nsecs,.source
2025/07/05/17:48:17.996304,9587,1751712497,996078507,,1751712497,782470000,fcu
2025/07/05/17:48:18.074047,9588,1751712498,73855693,,1751712497,861162000,fcu
2025/07/05/17:48:18.195427,9589,1751712498,194905899,,1751712497,982217000,fcu
2025/07/05/17:48:18.294957,9590,1751712498,294341076,,1751712498,81534000,fcu
2025/07/05/17:48:18.437137,9591,1751712498,436273667,,1751712498,223325000,fcu
2025/07/05/17:48:18.554213,9592,1751712498,554007326,,1751712498,340993000,fcu
2025/07/05/17:48:18.653882,9593,1751712498,653291731,,1751712498,441101000,fcu
2025/07/05/17:48:18.773723,9594,1751712498,773408517,,1751712498,560664000,fcu
2025/07/05/17:48:18.853981,9595,1751712498,853048267,,1751712498,640648000,fcu
2025/07/05/17:48:18.954102,9596,1751712498,953272968,,1751712498,740738000,fcu
2025/07/05/17:48:19.074698,9597,1751712499,74328479,,1751712498,860987000,fcu
2025/07/05/17:48:19.154186,9598,1751712499,153991337,,1751712498,941159000,fcu
2025/07/05/17:48:19.274274,9599,1751712499,273629630,,1751712499,60751000,fcu
2025/07/05/17:48:19.395662,9600,1751712499,394869724,,1751712499,182172000,fcu
2025/07/05/17:48:19.515302,9601,1751712499,514494377,,1751712499,301889000,fcu
2025/07/05/17:48:19.617440,9602,1751712499,616727802,,1751712499,404013000,fcu
2025/07/05/17:48:19.694858,9603,1751712499,694210037,,1751712499,481700000,fcu
2025/07/05/17:48:19.795676,9604,1751712499,795217592,,1751712499,582406000,fcu
2025/07/05/17:48:19.873929,9605,1751712499,873318307,,1751712499,661052000,fcu
2025/07/05/17:48:19.996703,9606,1751712499,996126464,,1751712499,782439000,fcu
2025/07/05/17:48:20.095129,9607,1751712500,94303707,,1751712499,881696000,fcu
2025/07/05/17:48:20.174052,9608,1751712500,173861359,,1751712499,961084000,fcu
2025/07/05/17:48:20.294716,9609,1751712500,294203080,,1751712500,81533000,fcu
2025/07/05/17:48:20.418034,9610,1751712500,417356997,,1751712500,204536000,fcu
2025/07/05/17:48:20.574149,9611,1751712500,573956820,,1751712500,361096000,fcu
2025/07/05/17:48:20.653953,9612,1751712500,653342306,,1751712500,441133000,fcu
2025/07/05/17:48:20.753965,9613,1751712500,753136245,,1751712500,540684000,fcu
2025/07/05/17:48:20.873726,9614,1751712500,873404108,,1751712500,660659000,fcu
2025/07/05/17:48:20.973397,9615,1751712500,973051277,,1751712500,761145000,fcu
2025/07/05/17:48:21.053785,9616,1751712501,53228150,,1751712500,840984000,fcu
2025/07/05/17:48:21.173806,9617,1751712501,173212117,,1751712500,960730000,fcu
2025/07/05/17:48:21.253929,9618,1751712501,253228326,,1751712501,40791000,fcu
2025/07/05/17:48:21.353913,9619,1751712501,353088619,,1751712501,141000000,fcu
2025/07/05/17:48:21.534188,9620,1751712501,533550764,,1751712501,321035000,fcu
2025/07/05/17:48:21.633959,9621,1751712501,633247122,,1751712501,420501000,fcu
2025/07/05/17:48:21.733779,9622,1751712501,733180172,,1751712501,520408000,fcu
2025/07/05/17:48:21.817551,9623,1751712501,816900235,,1751712501,604326000,fcu
2025/07/05/17:48:21.914739,9624,1751712501,913962746,,1751712501,701743000,fcu
2025/07/05/17:48:22.017387,9625,1751712502,16821540,,1751712501,804248000,fcu
2025/07/05/17:48:22.094692,9626,1751712502,93890076,,1751712501,881533000,fcu
2025/07/05/17:48:22.173873,9627,1751712502,173110160,,1751712501,960822000,fcu
2025/07/05/17:48:22.253572,9628,1751712502,253257677,,1751712502,41041000,fcu
2025/07/05/17:48:22.395437,9629,1751712502,394974671,,1751712502,182239000,fcu
2025/07/05/17:48:22.533752,9630,1751712502,533340264,,1751712502,321051000,fcu
2025/07/05/17:48:22.633852,9631,1751712502,633003419,,1751712502,420406000,fcu
2025/07/05/17:48:22.734130,9632,1751712502,733939395,,1751712502,520874000,fcu
2025/07/05/17:48:22.833858,9633,1751712502,833174417,,1751712502,620518000,fcu
2025/07/05/17:48:22.934053,9634,1751712502,933258924,,1751712502,720563000,fcu
2025/07/05/17:48:23.017214,9635,1751712503,16512848,,1751712502,804028000,fcu
2025/07/05/17:48:23.095354,9636,1751712503,94922866,,1751712502,881947000,fcu
2025/07/05/17:48:23.195659,9637,1751712503,195101236,,1751712502,982481000,fcu
2025/07/05/17:48:23.274184,9638,1751712503,273955630,,1751712503,61169000,fcu
2025/07/05/17:48:23.353662,9639,1751712503,353268923,,1751712503,140869000,fcu
2025/07/05/17:48:23.533687,9640,1751712503,533192812,,1751712503,321051000,fcu
2025/07/05/17:48:23.634016,9641,1751712503,633335947,,1751712503,420801000,fcu
2025/07/05/17:48:23.733610,9642,1751712503,733185687,,1751712503,520363000,fcu
2025/07/05/17:48:23.817311,9643,1751712503,816540996,,1751712503,604188000,fcu
2025/07/05/17:48:23.895235,9644,1751712503,895093652,,1751712503,682169000,fcu
2025/07/05/17:48:24.017244,9645,1751712504,16635578,,1751712503,804250000,fcu
2025/07/05/17:48:24.094907,9646,1751712504,94162655,,1751712503,882153000,fcu
2025/07/05/17:48:24.195517,9647,1751712504,194780095,,1751712503,981981000,fcu
2025/07/05/17:48:24.253856,9648,1751712504,253045686,,1751712504,40811000,fcu
2025/07/05/17:48:24.354368,9649,1751712504,354061279,,1751712504,141094000,fcu
