time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
2025/07/05/17:48:20.074703,9606,1751712500,81147008,base_link,101078.74755859375,0.0
2025/07/05/17:48:20.173938,9607,1751712500,180147008,base_link,101078.53393554688,0.0
2025/07/05/17:48:20.294406,9608,1751712500,301147008,base_link,101077.39868164062,0.0
2025/07/05/17:48:20.418004,9609,1751712500,424147008,base_link,101077.59399414062,0.0
2025/07/05/17:48:20.573398,9610,1751712500,580147008,base_link,101077.99072265625,0.0
2025/07/05/17:48:20.653733,9611,1751712500,660147008,base_link,101076.19018554688,0.0
2025/07/05/17:48:20.753927,9612,1751712500,760147008,base_link,101075.26245117188,0.0
2025/07/05/17:48:20.853972,9613,1751712500,860147008,base_link,101078.7841796875,0.0
2025/07/05/17:48:20.953417,9614,1751712500,960147008,base_link,101077.31323242188,0.0
2025/07/05/17:48:21.053688,9615,1751712501,60147008,base_link,101076.79443359375,0.0
2025/07/05/17:48:21.153995,9616,1751712501,160147008,base_link,101077.9052734375,0.0
2025/07/05/17:48:21.253580,9617,1751712501,260147008,base_link,101078.3203125,0.0
2025/07/05/17:48:21.353859,9618,1751712501,360147008,base_link,101077.43530273438,0.0
2025/07/05/17:48:21.533964,9619,1751712501,540147008,base_link,101079.19921875,0.0
2025/07/05/17:48:21.617718,9620,1751712501,624147008,base_link,101076.85546875,0.0
2025/07/05/17:48:21.715118,9621,1751712501,721147008,base_link,101081.7138671875,0.0
2025/07/05/17:48:21.795920,9622,1751712501,802147008,base_link,101077.44140625,0.0
2025/07/05/17:48:21.914658,9623,1751712501,921147008,base_link,101078.30810546875,0.0
2025/07/05/17:48:21.995871,9624,1751712502,2147008,base_link,101079.46166992188,0.0
2025/07/05/17:48:22.094637,9625,1751712502,101147008,base_link,101078.5888671875,0.0
2025/07/05/17:48:22.173824,9626,1751712502,180147008,base_link,101078.5888671875,0.0
2025/07/05/17:48:22.253477,9627,1751712502,260147008,base_link,101078.48510742188,0.0
2025/07/05/17:48:22.353810,9628,1751712502,361147008,base_link,101078.28979492188,0.0
2025/07/05/17:48:22.533643,9629,1751712502,540147008,base_link,101079.28466796875,0.0
2025/07/05/17:48:22.633767,9630,1751712502,640147008,base_link,101077.1484375,0.0
2025/07/05/17:48:22.733537,9631,1751712502,740147008,base_link,101079.16870117188,0.0
2025/07/05/17:48:22.817531,9632,1751712502,824147008,base_link,101079.33349609375,0.0
2025/07/05/17:48:22.914741,9633,1751712502,922147008,base_link,101075.89111328125,0.0
2025/07/05/17:48:22.996100,9634,1751712503,2147008,base_link,101076.60522460938,0.0
2025/07/05/17:48:23.094514,9635,1751712503,101147008,base_link,101078.76586914062,0.0
2025/07/05/17:48:23.195552,9636,1751712503,202147008,base_link,101079.81567382812,0.0
2025/07/05/17:48:23.273878,9637,1751712503,280147008,base_link,101079.81567382812,0.0
2025/07/05/17:48:23.353516,9638,1751712503,360147008,base_link,101078.1982421875,0.0
2025/07/05/17:48:23.533622,9639,1751712503,540147008,base_link,101077.26440429688,0.0
2025/07/05/17:48:23.633971,9640,1751712503,640147008,base_link,101079.21752929688,0.0
2025/07/05/17:48:23.715099,9641,1751712503,721147008,base_link,101077.9296875,0.0
2025/07/05/17:48:23.795764,9642,1751712503,802147008,base_link,101077.54516601562,0.0
2025/07/05/17:48:23.894866,9643,1751712503,901147008,base_link,101077.83203125,0.0
2025/07/05/17:48:24.017138,9644,1751712504,24147008,base_link,101074.92065429688,0.0
2025/07/05/17:48:24.094756,9645,1751712504,101147008,base_link,101079.52270507812,0.0
2025/07/05/17:48:24.174027,9646,1751712504,180147008,base_link,101079.52270507812,0.0
2025/07/05/17:48:24.253783,9647,1751712504,260147008,base_link,101078.13720703125,0.0
2025/07/05/17:48:24.353487,9648,1751712504,360147008,base_link,101079.33349609375,0.0
2025/07/05/17:48:24.534075,9649,1751712504,540147008,base_link,101077.76489257812,0.0
2025/07/05/17:48:24.654077,9650,1751712504,660147008,base_link,101077.60009765625,0.0
2025/07/05/17:48:24.753689,9651,1751712504,760147008,base_link,101079.80346679688,0.0
2025/07/05/17:48:24.853703,9652,1751712504,860147008,base_link,101079.77905273438,0.0
2025/07/05/17:48:24.953382,9653,1751712504,960147008,base_link,101078.6865234375,0.0
2025/07/05/17:48:25.053722,9654,1751712505,60147008,base_link,101076.21459960938,0.0
2025/07/05/17:48:25.153635,9655,1751712505,160147008,base_link,101078.6865234375,0.0
2025/07/05/17:48:25.253891,9656,1751712505,260147008,base_link,101077.75268554688,0.0
2025/07/05/17:48:25.353670,9657,1751712505,360147008,base_link,101077.98461914062,0.0
2025/07/05/17:48:25.514614,9658,1751712505,521147008,base_link,101078.46069335938,0.0
2025/07/05/17:48:25.614343,9659,1751712505,621147008,base_link,101076.22680664062,0.0
2025/07/05/17:48:25.694634,9660,1751712505,701147008,base_link,101079.02221679688,0.0
2025/07/05/17:48:25.794591,9661,1751712505,801147008,base_link,101080.45043945312,0.0
2025/07/05/17:48:25.873634,9662,1751712505,880147008,base_link,101080.45043945312,0.0
2025/07/05/17:48:25.995591,9663,1751712506,2147008,base_link,101078.57055664062,0.0
2025/07/05/17:48:26.094670,9664,1751712506,101147008,base_link,101077.24609375,0.0
2025/07/05/17:48:26.173487,9665,1751712506,180147008,base_link,101077.24609375,0.0
2025/07/05/17:48:26.253490,9666,1751712506,260147008,base_link,101078.21044921875,0.0
2025/07/05/17:48:26.353592,9667,1751712506,360147008,base_link,101078.41186523438,0.0
2025/07/05/17:48:26.514672,9668,1751712506,521147008,base_link,101078.63159179688,0.0
2025/07/05/17:48:26.615196,9669,1751712506,621147008,base_link,101076.4892578125,0.0
2025/07/05/17:48:26.694748,9670,1751712506,701147008,base_link,101077.45361328125,0.0
2025/07/05/17:48:26.773764,9671,1751712506,780147008,base_link,101077.45361328125,0.0
2025/07/05/17:48:26.873219,9672,1751712506,880147008,base_link,101076.97143554688,0.0
2025/07/05/17:48:26.953790,9673,1751712506,960147008,base_link,101077.83203125,0.0
2025/07/05/17:48:27.053564,9674,1751712507,60147008,base_link,101079.15649414062,0.0
2025/07/05/17:48:27.133454,9675,1751712507,140147008,base_link,101079.15649414062,0.0
2025/07/05/17:48:27.236223,9676,1751712507,243147008,base_link,101080.224609375,0.0
2025/07/05/17:48:27.314631,9677,1751712507,321147008,base_link,101079.47387695312,0.0
2025/07/05/17:48:27.495057,9678,1751712507,502147008,base_link,101077.6611328125,0.0
2025/07/05/17:48:27.594670,9679,1751712507,601147008,base_link,101079.19921875,0.0
2025/07/05/17:48:27.673417,9680,1751712507,680147008,base_link,101079.19921875,0.0
2025/07/05/17:48:27.773433,9681,1751712507,781147008,base_link,101078.15551757812,0.0
2025/07/05/17:48:27.894377,9682,1751712507,901147008,base_link,101078.466796875,0.0
2025/07/05/17:48:27.994095,9683,1751712508,2147008,base_link,101075.9033203125,0.0
2025/07/05/17:48:28.094919,9684,1751712508,101147008,base_link,101075.89721679688,0.0
2025/07/05/17:48:28.195493,9685,1751712508,202147008,base_link,101077.93579101562,0.0
2025/07/05/17:48:28.273545,9686,1751712508,280147008,base_link,101077.93579101562,0.0
