time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.temperature,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.cell_temperature,.location,.serial_number
2025/07/05/17:44:18.303721,14618,1751712258,303407106,,11.981000900268555,0.0,-0.25,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.981000900268555,)",(),id1,
2025/07/05/17:44:18.342201,14619,1751712258,341905713,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:18.444276,14620,1751712258,443436672,,11.988000869750977,0.0,-0.25,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.988000869750977,)",(),id1,
2025/07/05/17:44:18.503912,14621,1751712258,503228050,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:18.584426,14622,1751712258,583480081,,11.987000465393066,0.0,-0.25999999046325684,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.987000465393066,)",(),id1,
2025/07/05/17:44:18.628562,14623,1751712258,626117683,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:18.665184,14624,1751712258,663370762,,11.986001014709473,0.0,-0.25999999046325684,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.986001014709473,)",(),id1,
2025/07/05/17:44:18.705001,14625,1751712258,703556533,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:18.743391,14626,1751712258,742345021,,11.98900032043457,0.0,-0.25,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.98900032043457,)",(),id1,
2025/07/05/17:44:18.784432,14627,1751712258,782332388,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:18.825455,14628,1751712258,825085230,,11.988000869750977,0.0,-0.25,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.988000869750977,)",(),id1,
2025/07/05/17:44:18.862508,14629,1751712258,861758936,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:18.924114,14630,1751712258,923471031,,11.988000869750977,0.0,-0.25999999046325684,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.988000869750977,)",(),id1,
2025/07/05/17:44:18.982593,14631,1751712258,981790298,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:19.025426,14632,1751712259,25107797,,11.988000869750977,0.0,-0.25,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.988000869750977,)",(),id1,
2025/07/05/17:44:19.062749,14633,1751712259,62301839,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:19.122645,14634,1751712259,122096237,,11.91100025177002,0.0,-3.429999828338623,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.91100025177002,)",(),id1,
2025/07/05/17:44:19.163342,14635,1751712259,162435746,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:19.225838,14636,1751712259,225226119,,11.894001007080078,0.0,-6.230000019073486,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.894001007080078,)",(),id1,
2025/07/05/17:44:19.263717,14637,1751712259,263381938,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
2025/07/05/17:44:19.322744,14638,1751712259,322128919,,11.975000381469727,0.0,-0.5600000023841858,nan,nan,nan,0.8100000023841858,2,0,0,True,"(11.975000381469727,)",(),id1,
2025/07/05/17:44:19.362996,14639,1751712259,362459395,,0.0,0.0,0.009999999776482582,nan,nan,nan,-0.009999999776482582,2,0,0,True,(),(),,
