time,.data
2025/07/05/17:45:16.360893,102.61
2025/07/05/17:45:16.560678,102.31
2025/07/05/17:45:16.660783,102.18
2025/07/05/17:45:16.781032,102.11
2025/07/05/17:45:16.860241,102.13
2025/07/05/17:45:16.980563,102.33
2025/07/05/17:45:17.060203,102.63
2025/07/05/17:45:17.159920,103.27
2025/07/05/17:45:17.260957,104.25
2025/07/05/17:45:17.360365,105.48
2025/07/05/17:45:17.522050,107.97
2025/07/05/17:45:17.623739,109.61
2025/07/05/17:45:17.702868,110.9
2025/07/05/17:45:17.804139,112.38
2025/07/05/17:45:17.884284,113.4
2025/07/05/17:45:18.002253,114.59
2025/07/05/17:45:18.081135,115.14
2025/07/05/17:45:18.180739,115.44
2025/07/05/17:45:18.259964,115.0
2025/07/05/17:45:18.360308,113.86
2025/07/05/17:45:18.542697,110.89
2025/07/05/17:45:18.642313,109.15
2025/07/05/17:45:18.760996,107.88
2025/07/05/17:45:18.860674,107.79
2025/07/05/17:45:19.002323,109.03
2025/07/05/17:45:19.083481,110.25
2025/07/05/17:45:19.180390,111.97
2025/07/05/17:45:19.260236,113.36
2025/07/05/17:45:19.360670,115.0
2025/07/05/17:45:19.501811,117.06
2025/07/05/17:45:19.601863,118.11
2025/07/05/17:45:19.681311,118.14
2025/07/05/17:45:19.780745,117.47
2025/07/05/17:45:19.860653,116.61
2025/07/05/17:45:19.981618,114.73
2025/07/05/17:45:20.060570,113.21
2025/07/05/17:45:20.160523,111.15
2025/07/05/17:45:20.240351,109.52
2025/07/05/17:45:20.341782,107.56
2025/07/05/17:45:20.480567,104.86
2025/07/05/17:45:20.601668,102.77
2025/07/05/17:45:20.680722,102.07
2025/07/05/17:45:20.780890,101.63
2025/07/05/17:45:20.860776,101.03
2025/07/05/17:45:21.002018,99.44
2025/07/05/17:45:21.082156,98.89
2025/07/05/17:45:21.180477,99.37
2025/07/05/17:45:21.259843,100.22
2025/07/05/17:45:21.359997,101.68
2025/07/05/17:45:21.501139,104.45
2025/07/05/17:45:21.623891,107.22
2025/07/05/17:45:21.700753,109.09
2025/07/05/17:45:21.801669,111.3
2025/07/05/17:45:21.901297,113.39
2025/07/05/17:45:21.980350,114.99
2025/07/05/17:45:22.061003,116.55
2025/07/05/17:45:22.160062,118.55
2025/07/05/17:45:22.260607,120.62
2025/07/05/17:45:22.360892,122.76
2025/07/05/17:45:22.560948,127.11
2025/07/05/17:45:22.660935,129.17
2025/07/05/17:45:22.760193,131.19
2025/07/05/17:45:22.860136,133.12
2025/07/05/17:45:22.960806,134.95
2025/07/05/17:45:23.060266,136.67
2025/07/05/17:45:23.161465,138.07
2025/07/05/17:45:23.260535,139.13
2025/07/05/17:45:23.360206,139.83
2025/07/05/17:45:23.580909,141.7
2025/07/05/17:45:23.662927,142.72
2025/07/05/17:45:23.760051,144.3
2025/07/05/17:45:23.840764,145.8
2025/07/05/17:45:23.940654,147.93
2025/07/05/17:45:24.040336,150.22
2025/07/05/17:45:24.141407,152.4
2025/07/05/17:45:24.242618,154.53
2025/07/05/17:45:24.340022,156.59
2025/07/05/17:45:24.501903,159.81
2025/07/05/17:45:24.601951,161.82
2025/07/05/17:45:24.679978,163.42
2025/07/05/17:45:24.760543,165.05
2025/07/05/17:45:24.859848,167.13
2025/07/05/17:45:25.002208,169.99
2025/07/05/17:45:25.081609,171.63
2025/07/05/17:45:25.180843,173.66
2025/07/05/17:45:25.259777,175.29
2025/07/05/17:45:25.340567,176.96
2025/07/05/17:45:25.460271,179.35
2025/07/05/17:45:25.601390,182.25
2025/07/05/17:45:25.680633,183.86
2025/07/05/17:45:25.780461,185.85
2025/07/05/17:45:25.859794,187.44
2025/07/05/17:45:25.980765,189.8
2025/07/05/17:45:26.080405,191.81
2025/07/05/17:45:26.179558,193.81
2025/07/05/17:45:26.260257,195.39
2025/07/05/17:45:26.359970,197.31
2025/07/05/17:45:26.560973,201.29
