time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.remote_timestamp_ns,.observed_offset_ns,.estimated_offset_ns,.round_trip_time_ms
2025/07/05/17:49:43.171779,11054,1751712583,171160746,,2956894524000,1751709626269361521,1751709626283147008,14.538459777832031
2025/07/05/17:49:43.270761,11055,1751712583,269941028,,2956994538000,1751709626268721836,1751709626283147008,13.349099159240723
2025/07/05/17:49:43.371159,11056,1751712583,370238852,,2957095326000,1751709626268046347,1751709626283147008,13.715639114379883
2025/07/05/17:49:43.470643,11057,1751712583,470164311,,2957195298000,1751709626268042581,1751709626283147008,13.643820762634277
2025/07/05/17:49:43.571157,11058,1751712583,570259989,,2957295031000,1751709626268354965,1751709626283147008,13.732946395874023
2025/07/05/17:49:43.671781,11059,1751712583,670699281,,2957395338000,1751709626268061065,1751709626283147008,13.913166046142578
2025/07/05/17:49:43.770991,11060,1751712583,770185549,,2957494540000,1751709626268815111,1751709626283147008,13.649211883544922
2025/07/05/17:49:43.871283,11061,1751712583,870239829,,2957595268000,1751709626268148186,1751709626283147008,13.63746452331543
2025/07/05/17:49:43.971075,11062,1751712583,970647354,,2957694807000,1751709626268890068,1751709626283147008,13.896783828735352
2025/07/05/17:49:44.072087,11063,1751712584,71262322,,2957794482000,1751709626269400952,1751709626283147008,14.752694129943848
2025/07/05/17:49:44.171771,11064,1751712584,171186250,,2957895100000,1751709626268750736,1751709626283147008,14.667874336242676
2025/07/05/17:49:44.271784,11065,1751712584,270884684,,2957995012000,1751709626268450702,1751709626283147008,13.671673774719238
2025/07/05/17:49:44.370985,11066,1751712584,370072100,,2958095288000,1751709626268149352,1751709626283147008,13.24789047241211
2025/07/05/17:49:44.470604,11067,1751712584,470187095,,2958195321000,1751709626268142782,1751709626283147008,13.4425630569458
2025/07/05/17:49:44.570440,11068,1751712584,569956701,,2958295297000,1751709626267995013,1751709626283147008,13.322942733764648
2025/07/05/17:49:44.670519,11069,1751712584,670225648,,2958394519000,1751709626268879566,1751709626283147008,13.6506986618042
2025/07/05/17:49:44.771669,11070,1751712584,770009361,,2958494560000,1751709626268723782,1751709626283147008,13.443806648254395
2025/07/05/17:49:44.871866,11071,1751712584,870227813,,2958595468000,1751709626267797839,1751709626283147008,13.48182487487793
2025/07/05/17:49:44.970886,11072,1751712584,970284808,,2958694569000,1751709626268846529,1751709626283147008,13.734660148620605
2025/07/05/17:49:45.071033,11073,1751712585,69895925,,2958795238000,1751709626267964508,1751709626283147008,13.381488800048828
2025/07/05/17:49:45.171072,11074,1751712585,170054926,,2958895116000,1751709626268159384,1751709626283147008,13.554262161254883
2025/07/05/17:49:45.271247,11075,1751712585,270440803,,2958995347000,1751709626268127802,1751709626283147008,13.912623405456543
2025/07/05/17:49:45.370971,11076,1751712585,370291874,,2959095292000,1751709626268122724,1751709626283147008,13.740044593811035
2025/07/05/17:49:45.471526,11077,1751712585,471154596,,2959195471000,1751709626268403884,1751709626283147008,14.26402473449707
2025/07/05/17:49:45.571213,11078,1751712585,570050017,,2959295366000,1751709626268075395,1751709626283147008,13.213772773742676
