time,.layout.dim,.layout.data_offset,.data
2025/07/05/17:49:40.035553,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.036251,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.131685,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.132106,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.132831,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.234257,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.234595,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.235247,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.331845,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.331855,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.333129,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.512948,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.513259,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.514080,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.593477,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.594322,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.595654,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.672765,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.673759,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.674435,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.773416,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.773808,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.774122,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.873893,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.873902,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:40.874200,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:41.013775,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:41.013785,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:41.014098,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:41.093503,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:41.094657,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:41.094747,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
2025/07/05/17:49:41.173306,[],0,"(-7.28604, 112.794951, -7.287745, 112.797922)"
